Topic,Words
0,"commande, être, recevoir, colis, jour, livraison, livrer, service, client, faire, passer, devoir, mail, remboursement, priver, dire, rembourser, jamais, bien, appeler"
1,"poste, livreur, point, relais, lettre, relai, récupérer, colis, manquer, domicile, choisir, chercher, boîte, lieu, aller, changer, bureau, abîmer, arriver, déposer"
2,"fuir, voleur, répondre, éviter, voyage, contact, honte, appel, annuler, impossible, séjour, réservation, arnaqu, réponse, inadmissible, canapé, aucun, message, sav, lamentable"
3,"long, retard, delai, prévenir, livraison, respecter, date, changement, sanitaire, délai, covid, disponible, livreur, horaire, cause, prévoir, domicile, revoir, repousser, trop"
4,"modèle, noir, tailler, bel, qualité, irl, ressembler, tissu, couleur, petit, dimension, taille, joli, vêtement, décevoir, lavage, porter, manche, matière, haut"
5,"carton, emballage, état, cassé, boîte, abîmé, abîmer, casser, paquet, intérieur, protéger, marchandise, écraser, déchirer, fragile, complètement, heureusement, bulle, endommager, emballer"
6,"avouer, obligation, mention, furieux, dame, malhonnêteté, quelqu, ferme, sapin, mépris, accuser, sembler, celà, drôle, amener, sur, sérieusement, ravir, auparavant, certifier"
7,"entourage, ravir, vie, contacte, content, horreur, imposer, amener, électrique, réfléchir, rencontre, fichu, mari, réitérer, sérieusement, dédommager, contretemps, signature, éventuel, dame"
8,"remboursement, mois, aucun, veepee, annuler, réponse, rien, rembourser, compte, service, problème, appeler, demande, part, jour, mail, client, semaine, jamais, répondre"
9,"reconnaître, drôle, gerer, mépris, médiocrité, écoute, contretemps, cesse, couche, organisation, encontre, débile, juge, manager, stupéfaction, déclaration, dayan, relever, pleurer, bibliothèque"
10,"commande, recevoir, mail, faire, client, fois, rien, remboursement, vente, service, être, jour, colis, attendre, commander, rembourser, dire, jamais, bien, aucun"
11,"tissu, taille, petit, tailler, blanc, couleur, maillot, couture, noir, vêtement, haut, décevoir, modèle, garde, jolie, joli, grand, bel, finition, matière"
12,"rapide, conforme, conformer, description, soigner, attente, descriptif, rapport, top, ultra, parfaitement, qualité, super, produit, produire, express, rapidité, avance, correct, expédition"
13,"amener, avenir, celà, imposer, lorsqu, accès, dédommager, rêver, culot, parole, navrer, manger, grandir, contretemps, stupéfaction, incompétence, centaine, négocier, menacer, gain"
14,"commander, article, frais, produit, site, payer, bon, commande, recevoir, marque, dernier, mauvais, fois, erreur, non, arriver, mettre, renvoyer, voir, proposer"
15,"long, respecter, délai, delai, livraison, trop, lent, sanitaire, date, crise, marchandise, tardif, respect, avance, retarder, bémol, retard, général, presser, prévoir"
16,"sav, acheter, garantie, vouloir, fuir, voyage, honte, veepee, impossible, gros, réponse, vendre, fonctionner, sérieux, arnaqu, showroom, site, suite, éviter, arnaque"
17,"prix, cher, trouver, frais, port, vendre, ailleurs, arnaqu, acheter, intéressant, marque, croire, arnaque, attention, internet, proposer, élevé, choix, site, barré"
18,"service, client, remboursement, mois, demande, jamais, rembourser, aucun, jour, être, faire, mail, commande, problème, envoyer, rien, compte, fois, veepee, réponse"
19,"nickel, drôle, process, budget, charger, géant, surbooking, amener, front, bibliothèque, tomasucci, sèche, dingue, parole, qualite, peser, agissement, contretemps, granjon, gerer"
20,"site, vente, client, faire, frais, acheter, euro, achat, bon, priver, prendre, produit, service, payer, rembourser, non, prix, bien, article, contacter"
21,"rapide, conforme, description, excellent, rapport, parfaitement, conformer, rapidement, descriptif, efficace, soigner, qualité, impeccable, estimer, ultra, établissement, terme, super, traitement, attente"
22,"commander, marque, qualité, taille, correspondre, article, grand, mauvais, petit, vêtement, modèle, déçu, acheter, recommander, plastique, trop, vraiment, décevoir, mal, photo"
23,"livrer, colis, commande, devoir, livraison, attendre, passer, être, prévoir, point, rien, retard, perdre, relais, relai, cadeau, savoir, jour, dernier, transporteur"
24,"coupe, joli, bel, matière, beau, jaune, bijou, couleur, sandale, bottine, garde, rose, beal, mode, pierre, pis, malheureusement, été, forme, blanc"
25,"satisfaire, content, imposer, satisfait, victime, redire, famille, ravir, conter, avouer, consigne, remercier, peser, signifier, èm, insister, dame, résilier, contacte, deviner"
26,"été, soutien, système, chaud, fidélité, déclaration, rostand, contretemps, agissement, différer, ultime, fonction, gentil, gerer, gout, sympa, ordinateur, legal, témoigner, poliment"
27,"commande, fois, recevoir, être, faire, jamais, arriver, passer, mois, colis, commander, article, client, devoir, rembourser, jour, attendre, site, vente, remboursement"
28,"rapide, parfait, conforme, parole, min, rapidement, excellent, rapidité, conformer, super, top, arthur, bizarrement, légitime, ras, ultra, hallucin, expirer, efficace, evidemment"
29,"erroné, gerer, joignable, parfait, tôt, debut, déclarer, chef, attitude, malhonnete, accuser, contretemps, irrespectueux, objectif, patati, consigne, anomalie, hallucin, déplacement, éventuellement"
